-120,073925;36,50887;2532;!-- 38985 sats:11 UTC 17:45:09 -->;-1687,079325;-1301,376384;8307,08688;8136,08688;34;15;462,59844;315,2885998;2144,393567;111,0406643;-1,4353675
-120,074363;36,508617;2661;!-- 39000 sats:11 UTC 17:45:10 -->;-1815,418143;-1393,602778;8730,31524;8559,31524;35;16;423,22836;288,4555275;2302,433308;107,7543688;-1,230315
-120,07479;36,50837;2777;!-- 39015 sats:11 UTC 17:45:11 -->;-1940,534655;-1483,641984;9110,89268;8939,89268;36;17;380,57744;259,3863658;2456,579993;105,1000124;-1,33284125
-120,07521;36,508128;2881;!-- 39030 sats:11 UTC 17:45:12 -->;-2063,600831;-1571,858534;9452,10004;9281,10004;37;18;341,20736;232,5532934;2607,998101;103,2396191;-1,230315
-120,075625;36,50789;2973;!-- 39045 sats:11 UTC 17:45:13 -->;-2185,202658;-1658,61696;9753,93732;9582,93732;38;19;301,83728;205,7202211;2757,37691;101,8491881;-1,230315
-120,076033;36,507655;3054;!-- 39060 sats:11 UTC 17:45:14 -->;-2304,754128;-1744,281792;10019,68536;9848,68536;39;20;265,74804;181,1232382;2904,451781;100,2783208;-1,12778875
-120,076437;36,507425;3124;!-- 39075 sats:11 UTC 17:45:15 -->;-2423,134156;-1828,123968;10249,34416;10078,34416;40;21;229,6588;156,5262552;3049,515014;98,90674961;-1,12778875
-120,076832;36,507198;3183;!-- 39090 sats:11 UTC 17:45:16 -->;-2538,877755;-1910,87255;10442,91372;10271,91372;41;22;193,56956;131,9292722;3191,796104;97,00983406;-1,12778875
-120,07722;36,506975;3233;!-- 39105 sats:11 UTC 17:45:17 -->;-2652,570863;-1992,163008;10606,95572;10435,95572;42;23;164,042;111,804468;3331,561125;95,29433303;-0,92273625
-120,077608;36,506753;3272;!-- 39120 sats:11 UTC 17:45:18 -->;-2766,26459;-2073,088934;10734,90848;10563,90848;43;24;127,95276;87,20748504;3471,114947;95,15033305;-1,12778875
-120,077992;36,506535;3301;!-- 39135 sats:11 UTC 17:45:19 -->;-2878,786796;-2152,556736;10830,05284;10659,05284;44;25;95,14436;64,84659144;3608,869723;93,92371057;-1,0252625
-120,07837;36,50632;3320;!-- 39150 sats:11 UTC 17:45:20 -->;-2989,551476;-2230,930944;10892,3888;10721,3888;45;26;62,33596;42,48569784;3744,558082;92,51479057;-1,0252625
-120,078745;36,506108;3328;!-- 39165 sats:11 UTC 17:45:21 -->;-3099,437628;-2308,211558;10918,63552;10747,63552;46;27;26,24672;17,88871488;3878,898172;91,5955157;-1,12778875
